temperature_min,temperature_max,cough_type,excretion,other_signs,syndrome,disease,evidence
38.5,40.0,湿咳、痰多、呼吸粗,正常,食欲下降、精神稍差,疫热壅肺,猪支原体肺炎,干咳转湿咳、无明显高热
40.0,,干咳、鼻流清涕,水样便,精神差、突发、群发,邪袭肺卫,猪流感,传播快、体温40℃以上
39.0,41.0,咳嗽、呼吸困难,便秘,颈部肿胀,疫热壅肺,猪肺疫,急性败血症表现、死亡快
38.0,39.5,咳嗽、喘促,稀溏,精神萎靡、病程长,气阴两伤,混合感染,反复发作、正虚邪恋
39.5,42.0,阵咳似尖叫、呼吸急促,便秘,突发高热、扎堆卧、眼鼻分泌物,邪袭肺卫,猪流感,发病急、传播快、病程5-7天
40.0,42.0,咳嗽、张口呼吸,便秘,犬坐姿势、口鼻血性泡沫,疫热壅肺,猪传染性胸膜肺炎,高热41℃+、最急性24-36h死亡
,39.0,干咳、晨夜加重,正常,体温正常、食欲尚可、病程长,疫热壅肺,猪支原体肺炎,体温不高是支原体关键鉴别点
,,恶寒颤抖、鼻流清涕,正常,耳耷头低、腰弓毛乍、发热轻,风寒束肺,,风寒感冒、无高热
,,咳嗽痰多色白易咯,正常,胸膈痞闷、肢体困重,痰湿壅肺,,湿痰证、苔白滑
40.0,42.5,呼吸急促、咳嗽气喘,正常,耳尖发紫、精神沉郁、母猪流产死胎、三高一低,疫热壅肺,猪繁殖与呼吸综合征,蓝耳病急性型：高热40-42.5℃+呼吸急促+耳尖发绀，热毒壅肺
,39.5,咳嗽、喘气,腹泻（仔猪）,耳尖发紫、病程长、发育迟缓、僵猪、免疫抑制,气阴两伤,猪繁殖与呼吸综合征,蓝耳病慢性型：病程长、正虚邪恋（免疫抑制），耳尖发绀+僵猪为气阴两伤表现
